total_demand,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_28
32631,,,,,
31749,,,,,
23783,,,,,
25412,,,,,
19146,,,,,
29211,,,,,
28010,,,,,
37932,27134.571428571428,,,4736.36931475094,
32736,27891.85714285714,,,6013.298191746118,
25572,28032.85714285714,,,6129.2676677444215,
23071,28288.428571428572,,,5957.416214465878,
23658,27954.0,,,6206.309558290928,
23756,28598.571428571428,,,5308.422799574993,
26445,27819.285714285714,,,5596.137677430917,
34833,27595.714285714286,27365.14285714286,,5618.465707358363,
36380,27153.0,27522.428571428572,,4718.235404611913,
21804,27673.571428571428,27853.214285714286,,5562.390818618162,
24070,27135.285714285714,27711.85714285714,,5967.246090514611,
21443,27278.0,27616.0,,5864.911792459741,
20318,26961.571428571428,27780.071428571428,,6145.799076256422,
23721,26470.428571428572,27144.85714285714,,6567.570348744983,
31689,26081.285714285714,26838.5,,6649.518371388155,
29283,25632.14285714286,26392.571428571428,,6037.913807173563,
23966,24618.285714285714,26145.928571428572,,4269.180238027192,
20501,24927.14285714286,26031.214285714286,,4106.761149964428,
20757,24417.285714285714,25847.64285714286,,4439.01808640476,
20277,24319.285714285714,25640.428571428572,,4522.414130907139,
22529,24313.428571428572,25391.928571428572,,4528.482522035495,
29908,24143.14285714286,25112.214285714286,26238.678571428572,4576.628250454383,5320.795394825654
28707,23888.714285714286,24760.428571428572,26141.428571428572,4113.263858717134,5223.630966692658
21240,23806.428571428572,24212.35714285714,26032.785714285714,3991.3197423551887,5133.540618882283
22872,23417.0,24172.071428571428,25941.964285714286,4104.536311611011,5196.921314280735
22046,23755.714285714286,24086.5,25851.25,3917.358536662416,5228.586542411006
23475,23939.85714285714,24129.571428571428,25954.821428571428,3780.8214023133232,5118.406718628522
23572,24396.714285714286,24355.071428571428,25749.964285714286,3442.533065166103,5098.002924037221
31202,24545.714285714286,24344.428571428572,25591.464285714286,3370.029510963061,5094.123182518975
34876,24730.571428571428,24309.64285714286,25351.10714285714,3729.508897837307,4627.710987961028
24562,25611.85714285714,24709.14285714286,25427.535714285714,5246.2129969649395,4769.686405423805
22752,26086.428571428572,24751.714285714286,25391.464285714286,4925.258770093304,4772.371787712974
22560,26069.285714285714,24912.5,25380.071428571428,4938.502631172255,4778.493330876116
22626,26142.714285714286,25041.285714285714,25340.85714285714,4872.086572653305,4797.61582543513
25572,26021.428571428572,25209.071428571428,25300.5,4959.350994405854,4816.158177696471
32225,26307.14285714286,25426.428571428572,25269.321428571428,4851.148160610076,4811.297900301928
31417,26453.285714285714,25591.928571428572,25176.178571428572,5035.105649811328,4641.545328983149
24935,25959.14285714286,25785.5,24998.928571428572,4165.349862399378,4278.408356945731
24021,26012.428571428572,26049.428571428572,25110.75,4146.842608424831,4232.482037108302
22765,26193.714285714286,26131.5,25109.0,4005.894894372785,4232.938398025831
21779,26223.0,26182.85714285714,25156.214285714286,3975.5369029436397,4197.759917235778
